hornLength	survival
25.2	Living
26.9	Living
26.6	Living
25.6	Living
25.7	Living
25.9	Living
27.3	Living
25.1	Living
30.3	Living
25.6	Living
26.0	Living
24.6	Living
25.6	Living
25.3	Living
23.5	Living
24.5	Living
23.3	Living
26.0	Living
23.9	Living
27.3	Living
25.4	Living
25.5	Living
21.4	Living
23.8	Living
25.5	Living
19.2	Living
20.7	Living
19.2	Living
25.5	Living
20.5	Living
20.6	Living
24.9	Living
23.7	Living
23.4	Living
25.6	Living
26.6	Living
27.7	Living
25.7	Living
27.0	Living
26.5	Living
25.0	Living
19.7	Living
27.1	Living
23.0	Living
22.7	Living
25.8	Living
28.8	Living
23.5	Living
23.2	Living
25.3	Living
23.8	Living
25.1	Living
26.7	Living
27.1	Living
22.5	Living
25.5	Living
24.4	Living
25.6	Living
20.6	Living
25.5	Living
24.5	Living
23.0	Living
27.6	Living
27.3	Living
20.7	Living
26.0	Living
25.1	Living
19.9	Living
23.5	Living
24.8	Living
22.4	Living
24.7	Living
27.5	Living
21.5	Living
24.0	Living
22.4	Living
21.3	Living
25.0	Living
24.3	Living
24.5	Living
23.6	Living
21.1	Living
25.6	Living
26.1	Living
23.7	Living
24.2	Living
23.2	Living
26.5	Living
28.1	Living
24.1	Living
29.5	Living
24.0	Living
26.8	Living
25.8	Living
23.3	Living
22.4	Living
24.2	Living
26.1	Living
23.2	Living
21.7	Living
24.7	Living
21.4	Living
18.5	Living
23.2	Living
21.5	Living
29.1	Living
21.7	Living
23.5	Living
23.0	Living
20.0	Living
21.9	Living
27.4	Living
27.1	Living
23.1	Living
23.8	Living
26.5	Living
27.0	Living
26.4	Living
26.3	Living
20.6	Living
24.5	Living
22.8	Living
25.5	Living
25.3	Living
28.0	Living
20.8	Living
25.9	Living
24.0	Living
22.5	Living
26.3	Living
23.3	Living
24.5	Living
21.6	Living
23.6	Living
23.0	Living
22.4	Living
27.4	Living
25.0	Living
23.9	Living
28.2	Living
27.2	Living
13.1	Living
22.9	Living
26.6	Living
25.8	Living
26.3	Living
20.9	Living
25.6	Living
24.8	Living
19.2	Living
27.4	Living
24.2	Living
15.7	Living
17.7	Living
21.4	Killed
23.9	Killed
23.2	Killed
22.6	Killed
22.5	Killed
19.3	Killed
23.5	Killed
23.4	Killed
19.0	Killed
21.7	Killed
20.2	Killed
26.7	Killed
21.7	Killed
21.0	Killed
23.9	Killed
24.6	Killed
21.6	Killed
25.3	Killed
25.0	Killed
25.2	Killed
15.2	Killed
22.9	Killed
21.4	Killed
23.9	Killed
17.2	Killed
15.5	Killed
22.0	Killed
22.0	Killed
23.1	Killed
20.7	Killed
