Date,Source,Site.ID,POC,Daily.Mean.PM2.5.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/03/1999,AQS,550250025,1,3.9,ug/m3 LC,16,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/06/1999,AQS,550250025,1,21,ug/m3 LC,70,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/09/1999,AQS,550250025,1,28.5,ug/m3 LC,85,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/12/1999,AQS,550250025,1,25,ug/m3 LC,78,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/15/1999,AQS,550250025,1,31.1,ug/m3 LC,91,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/18/1999,AQS,550250025,1,8.3,ug/m3 LC,35,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/21/1999,AQS,550250025,1,30.2,ug/m3 LC,89,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/24/1999,AQS,550250025,1,16.3,ug/m3 LC,60,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/27/1999,AQS,550250025,1,25.6,ug/m3 LC,79,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
01/30/1999,AQS,550250025,1,25.3,ug/m3 LC,79,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/02/1999,AQS,550250025,1,6,ug/m3 LC,25,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/05/1999,AQS,550250025,1,14.6,ug/m3 LC,56,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/11/1999,AQS,550250025,1,17.2,ug/m3 LC,62,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/14/1999,AQS,550250025,1,9.9,ug/m3 LC,41,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/17/1999,AQS,550250025,1,5.9,ug/m3 LC,25,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/20/1999,AQS,550250025,1,8.3,ug/m3 LC,35,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/23/1999,AQS,550250025,1,16.2,ug/m3 LC,60,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
02/26/1999,AQS,550250025,1,30,ug/m3 LC,89,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/01/1999,AQS,550250025,1,5.5,ug/m3 LC,23,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/04/1999,AQS,550250025,1,9.2,ug/m3 LC,38,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/07/1999,AQS,550250025,1,10.7,ug/m3 LC,45,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/10/1999,AQS,550250025,1,11,ug/m3 LC,46,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/13/1999,AQS,550250025,1,14.8,ug/m3 LC,57,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/16/1999,AQS,550250025,1,19,ug/m3 LC,66,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/19/1999,AQS,550250025,1,8.7,ug/m3 LC,36,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
03/22/1999,AQS,550250025,1,4.5,ug/m3 LC,19,DAYTON RESERVOIR SITE,1,100,88101,PM2.5 - Local Conditions,31540,"Madison, WI",55,Wisconsin,025,Dane,43.081939962,-89.376785595
