#title = mean sea level anomaly Pacific Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.85 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96140,-14.87000,,,
1992.98640,-27.17000,,,
1993.01220,-24.27000,,,
1993.04050,-33.17000,,,
1993.06590,-33.87000,,,
1993.09740,-35.67000,,,
1993.12050,-29.77000,,,
1993.14910,-23.27000,,,
1993.17650,-16.47000,,,
1993.20360,-19.67000,,,
1993.23070,-15.07000,,,
1993.28500,-20.87000,,,
1993.31220,-12.87000,,,
1993.33940,-19.67000,,,
1993.36650,-18.07000,,,
1993.39360,-22.17000,,,
1993.42070,-22.07000,,,
1993.44800,-19.97000,,,
1993.47510,-5.97000,,,
1993.50210,-8.87000,,,
1993.52940,-9.87000,,,
1993.58360,-13.07000,,,
1993.61160,-3.87000,,,
1993.63800,-4.27000,,,
1993.66510,-2.77000,,,
1993.69220,-5.77000,,,
1993.71880,-13.17000,,,
1993.74650,-10.87000,,,
1993.77380,-7.67000,,,
1993.80090,-7.27000,,,
1993.85520,-15.37000,,,
1993.88240,-17.47000,,,
1993.90960,-9.77000,,,
1993.93660,-9.67000,,,
1993.96370,-3.47000,,,
1993.99050,-6.67000,,,
1994.01800,-15.87000,,,
1994.04520,-15.67000,,,
1994.07230,-15.67000,,,
1994.09950,-19.87000,,,
1994.12660,-20.17000,,,
1994.15380,-16.77000,,,
1994.18090,-10.27000,,,
1994.23520,-15.77000,,,
1994.26240,-11.47000,,,
1994.28950,-8.67000,,,
1994.31660,-3.57000,,,
1994.34380,-17.67000,,,
1994.37100,-23.57000,,,
1994.39810,-29.07000,,,
1994.42520,-18.47000,,,
1994.45240,-7.77000,,,
1994.50670,-16.67000,,,
1994.53380,-1.17000,,,
1994.56100,-2.17000,,,
1994.58810,-12.07000,,,
1994.61530,-5.07000,,,
1994.64250,5.23000,,,
1994.66960,-3.27000,,,
1994.69660,-5.37000,,,
1994.72390,-5.17000,,,
